ORDERID,SOURCE,ORDERSTATUS,RIDERPROVIDER,STOREID,CUSTOMERPINCODE,ORDERPLACEDDATE,VERIFIEDDATE,STOREPUSHEDDATE,BILLEDDATE,RIDERASSIGNEDDATE,OFDDATE,ARRIVEDDATE,DELIVEREDDATE,PROMISEDTAT,CANCELLEDDATE,MRP,PAYMENTMETHOD
8383,Mobile - iOS,Delivered,O,226012,700008,2022-Apr-04 19:41:00,2022-Apr-04 19:53:00,2022-Apr-04 19:55:00,2022-Apr-04 19:58:00,2022-Apr-04 20:53:00,2022-Apr-04 21:04:00,2022-Apr-04 21:24:00,2022-Apr-04 21:25:00,2022-Apr-04 22:00:00,,790.1,PREPAID
8384,Mobile - Android,Delivered,D,232916,600041,2022-Apr-04 19:41:00,2022-Apr-04 19:44:00,2022-Apr-04 19:47:00,2022-Apr-04 19:51:00,2022-Apr-04 19:52:00,2022-Apr-04 20:04:00,2022-Apr-04 20:16:00,2022-Apr-04 20:16:00,2022-Apr-04 22:00:00,,755.22,PREPAID
8385,Mobile - iOS,Delivered,D,231170,500084,2022-Apr-04 19:41:00,2022-Apr-04 19:42:00,2022-Apr-04 19:44:00,2022-Apr-04 19:47:00,2022-Apr-04 19:49:00,2022-Apr-04 20:06:00,2022-Apr-04 20:28:00,2022-Apr-04 20:30:00,2022-Apr-04 22:00:00,,1072,PREPAID
8386,Mobile - Android,Delivered,O,234136,500050,2022-Apr-04 19:41:00,2022-Apr-04 19:42:00,2022-Apr-04 19:44:00,2022-Apr-04 19:52:00,2022-Apr-04 20:27:00,2022-Apr-04 20:27:00,2022-Apr-04 20:36:00,2022-Apr-04 20:38:00,2022-Apr-04 22:00:00,,609.68,PREPAID
8387,Desktop - Website,Delivered,O,226044,700103,2022-Apr-04 19:41:00,2022-Apr-04 19:44:00,2022-Apr-04 19:44:00,2022-Apr-04 19:55:00,2022-Apr-04 20:21:00,2022-Apr-04 20:21:00,2022-Apr-04 20:43:00,2022-Apr-04 20:44:00,2022-Apr-04 22:00:00,,577.9,PREPAID
8388,Mobile - Android,Delivered,K,231294,500090,2022-Apr-04 19:42:00,2022-Apr-04 19:50:00,2022-Apr-04 19:51:00,2022-Apr-04 20:05:00,2022-Apr-04 20:07:00,2022-Apr-04 20:26:00,2022-Apr-04 20:43:00,2022-Apr-04 20:46:00,2022-Apr-04 22:00:00,,418.37,PREPAID
8389,Mobile - Android,Delivered,D,228014,500035,2022-Apr-04 19:42:00,2022-Apr-04 20:28:00,2022-Apr-04 20:31:00,2022-Apr-04 20:32:00,2022-Apr-04 20:34:00,2022-Apr-04 20:44:00,2022-Apr-04 21:35:00,2022-Apr-04 21:36:00,2022-Apr-04 22:30:00,,376.32,PREPAID
8390,Mobile - Android,Out for Delivery,O,231892,500033,2022-Apr-04 19:42:00,2022-Apr-04 19:43:00,2022-Apr-04 19:48:00,2022-Apr-04 19:50:00,2022-Apr-04 20:47:00,2022-Apr-04 20:47:00,,,2022-Apr-04 22:00:00,,1224,COD
8391,Mobile - iOS,Delivered,D,226416,700017,2022-Apr-04 19:42:00,2022-Apr-04 19:44:00,2022-Apr-04 19:46:00,2022-Apr-04 19:49:00,2022-Apr-04 19:51:00,2022-Apr-04 19:59:00,2022-Apr-04 20:09:00,2022-Apr-04 20:12:00,2022-Apr-04 22:00:00,,1200,PREPAID
8392,Mobile - Android,Delivered,K,222110,122001,2022-Apr-04 19:43:00,2022-Apr-04 19:47:00,2022-Apr-04 19:49:00,2022-Apr-04 19:50:00,2022-Apr-04 19:55:00,2022-Apr-04 20:09:00,2022-Apr-04 20:17:00,2022-Apr-04 20:19:00,2022-Apr-04 22:00:00,,387.55,PREPAID
